date,cash,market_value,total_equity,daily_pnl,cumulative_pnl
2025-10-01,326.851654,99673.148346,100000.0,0.0,0.0
2025-10-02,326.851654,99734.100952,100060.952606,60.952606,60.952606
2025-10-03,326.851654,99548.964615,99875.816269,-185.136337,-124.183731
