date,code,quantity,close_price,market_value
2025-10-01,AAPL,0,254.964035,0.0
2025-10-01,MSFT,96,517.557861,49685.554688
2025-10-01,NVDA,267,187.219452,49987.593658
2025-10-02,AAPL,0,256.640839,0.0
2025-10-02,MSFT,96,513.604248,49306.007812
2025-10-02,NVDA,267,188.869263,50428.09314
2025-10-03,AAPL,0,257.529144,0.0
2025-10-03,MSFT,96,515.20752,49459.921875
2025-10-03,NVDA,267,187.599411,50089.04274
